@relation datacopy4

@attribute inputsize numeric
@attribute STS numeric
@attribute TT numeric

@data
590000,0.162,1318.98
105000,0.167,41.54
215000,0.16,183.41
195000,0.168,145.07000000000002
210000,0.169,174.56
230000,0.164,211.99
375000,0.166,531.87
190000,0.168,136.72
135000,0.16,68.88
160000,0.16,96.72000000000001
150000,0.16,84.89
600000,0.167,1363.85
315000,0.162,375.16
65000,0.163,15.73
330000,0.16,413.46000000000004
305000,0.16,355.74
30000,0.165,3.21
395000,0.167,590.7099999999999
440000,0.16,733.23
180000,0.164,122.07000000000001
25000,0.166,2.2
490000,0.161,909.53
340000,0.165,437.17
260000,0.168,255.9
290000,0.166,331.57
320000,0.16,387.82
45000,0.162,7.41
430000,0.168,698.9599999999999
565000,0.16,1209.6
210000,0.162,174.56
485000,0.161,892.85
560000,0.168,1189.83
95000,0.162,34.02
570000,0.16,1228.85
545000,0.161,1125.52
430000,0.163,698.9599999999999
330000,0.163,413.46000000000004
460000,0.16,801.43
10000,0.166,0.34
595000,0.16,1342.93
450000,0.168,765.28
435000,0.169,716.36
160000,0.166,96.72000000000001
210000,0.168,174.56
255000,0.167,254.55
80000,0.166,23.96
10000,0.164,0.34
505000,0.161,964.1
525000,0.161,1040.62
80000,0.169,23.96
385000,0.163,561.15
255000,0.16,254.55
30000,0.16,3.21
460000,0.16,801.43
235000,0.167,216.8
380000,0.163,549.16
465000,0.167,816.46
155000,0.167,90.95
455000,0.164,782.8399999999999
275000,0.165,297.65000000000003
410000,0.162,636.38
110000,0.164,45.660000000000004
535000,0.163,1089.05
245000,0.16,230.29000000000002
95000,0.164,34.02
515000,0.161,1003.07
285000,0.167,317.77
535000,0.165,1089.05
100000,0.166,37.6
615000,0.16,1430.5
325000,0.16,401.28
440000,0.168,733.23
515000,0.164,1003.07
50000,0.16,9.21
155000,0.164,90.95
15000,0.166,0.76
350000,0.163,463.22
305000,0.165,355.74
515000,0.167,1003.07
580000,0.16,1274.62
105000,0.16,41.54
265000,0.162,266.04
285000,0.163,317.77
590000,0.164,1318.98
480000,0.166,871.89
215000,0.16,183.41
110000,0.169,45.660000000000004
360000,0.163,490.38
255000,0.162,254.55
140000,0.165,73.87
405000,0.165,621.7900000000001
320000,0.165,387.82
280000,0.169,296.77000000000004
520000,0.167,1021.95
455000,0.16,782.8399999999999
95000,0.163,34.02
315000,0.162,375.16
425000,0.169,682.6
175000,0.168,115.92
155000,0.161,90.95
210000,0.162,174.56
185000,0.166,129.10999999999999
310000,0.167,363.42999999999995
35000,0.162,4.42
215000,0.166,183.41
75000,0.16,21.06
380000,0.162,549.16
540000,0.163,1102.6399999999999
400000,0.16,605.78
395000,0.164,590.7099999999999
535000,0.161,1089.05
280000,0.169,296.77000000000004
270000,0.163,277.65
360000,0.166,490.38
515000,0.169,1003.07
200000,0.163,157.85
195000,0.169,145.07000000000002
365000,0.16,503.82
200000,0.164,157.85
90000,0.165,30.45
435000,0.166,716.36
35000,0.161,4.42
500000,0.161,947.9200000000001
245000,0.166,230.29000000000002
90000,0.164,30.45
40000,0.164,5.8
485000,0.167,892.85
260000,0.163,255.9
350000,0.169,463.22
155000,0.163,90.95
125000,0.166,58.900000000000006
460000,0.166,801.43
440000,0.162,733.23
280000,0.167,296.77000000000004
65000,0.16,15.73
340000,0.163,437.17
115000,0.16,49.86000000000001
265000,0.165,266.04
135000,0.169,68.88
590000,0.167,1318.98
610000,0.169,1407.79
50000,0.16,9.21
620000,0.16,794.4399999999999
460000,0.16,801.43
110000,0.163,45.660000000000004
75000,0.16,21.06
90000,0.16,30.45
145000,0.16,79.48
580000,0.16,1274.62
115000,0.16,49.86000000000001
50000,0.16,9.21
505000,0.165,964.1
70000,0.166,18.270000000000003
200000,0.168,157.85
600000,0.167,1363.85
160000,0.169,96.72000000000001
25000,0.16,2.2
250000,0.164,245.56
215000,0.16,183.41
400000,0.162,605.78
210000,0.16,174.56
170000,0.16,109.2
130000,0.16,63.730000000000004
230000,0.168,211.99
515000,0.168,1003.07
200000,0.161,157.85
55000,0.168,11.18
235000,0.161,216.8
165000,0.164,102.83999999999999
210000,0.168,174.56
165000,0.168,102.83999999999999
130000,0.166,63.730000000000004
620000,0.164,794.4399999999999
100000,0.165,37.6
385000,0.161,561.15
585000,0.168,1297.31
375000,0.165,531.87
535000,0.165,1089.05
605000,0.168,1382.59
65000,0.165,15.73
255000,0.164,254.55
545000,0.168,1125.52
95000,0.16,34.02
230000,0.167,211.99
460000,0.169,801.43
340000,0.165,437.17
460000,0.168,801.43
475000,0.16,855.05
240000,0.169,226.49
220000,0.166,196.98
300000,0.163,347.56
530000,0.16,1061.63
550000,0.163,1143.53
300000,0.166,347.56
510000,0.16,987.55
365000,0.161,503.82
385000,0.167,561.15
465000,0.167,816.46
75000,0.169,21.06
505000,0.162,964.1
235000,0.167,216.8
150000,0.169,84.89
240000,0.165,226.49
115000,0.162,49.86000000000001
585000,0.163,1297.31
270000,0.163,277.65
85000,0.16,27.24
100000,0.16,37.6
360000,0.162,490.38
155000,0.16,90.95
325000,0.165,401.28
285000,0.168,317.77
490000,0.165,909.53
95000,0.168,34.02
540000,0.167,1102.6399999999999
270000,0.163,277.65
250000,0.167,245.56
595000,0.16,1342.93
515000,0.166,1003.07
195000,0.166,145.07000000000002
405000,0.161,621.7900000000001
100000,0.16,37.6
170000,0.169,109.2
455000,0.161,782.8399999999999
355000,0.161,478.68
225000,0.163,198.04
505000,0.169,964.1
495000,0.16,929.7600000000001
200000,0.164,157.85
340000,0.164,437.17
165000,0.16,102.83999999999999
330000,0.16,413.46000000000004
340000,0.165,437.17
385000,0.166,561.15
535000,0.166,1089.05
365000,0.164,503.82
40000,0.168,5.8
370000,0.169,518.49
570000,0.163,1228.85
310000,0.166,363.42999999999995
405000,0.169,621.7900000000001
185000,0.166,129.10999999999999
60000,0.16,13.34
360000,0.16,490.38
315000,0.163,375.16
175000,0.169,115.92
90000,0.169,30.45
500000,0.161,947.9200000000001
385000,0.165,561.15
125000,0.166,58.900000000000006
30000,0.163,3.21
460000,0.164,801.43
10000,0.164,0.34
565000,0.166,1209.6
555000,0.161,1163.1
170000,0.161,109.2
