inst#,actual,predicted,error
1,?,0.339,?
2,?,0.335,?
3,?,0.34,?
4,?,0.334,?
5,?,0.339,?
6,?,0.335,?
7,?,0.339,?
8,?,0.337,?
9,?,0.34,?
10,?,0.341,?
11,?,0.335,?
12,?,0.341,?
13,?,0.341,?
14,?,0.34,?
15,?,0.339,?
16,?,0.339,?
17,?,0.341,?
18,?,0.338,?
19,?,0.341,?
20,?,0.334,?
21,?,0.342,?
22,?,0.341,?
23,?,0.34,?
24,?,0.335,?
25,?,0.334,?
26,?,0.334,?
27,?,0.336,?
28,?,0.342,?
29,?,0.337,?
30,?,0.339,?
31,?,0.341,?
32,?,0.338,?
33,?,0.339,?
34,?,0.765,?
35,?,0.761,?
36,?,0.767,?
37,?,0.764,?
38,?,0.767,?
39,?,0.762,?
40,?,0.762,?
41,?,0.765,?
42,?,0.767,?
43,?,0.762,?
44,?,0.768,?
45,?,0.765,?
46,?,0.767,?
47,?,0.768,?
48,?,0.761,?
49,?,0.762,?
50,?,0.767,?
51,?,0.768,?
52,?,0.764,?
53,?,0.766,?
54,?,0.764,?
55,?,0.769,?
56,?,0.77,?
57,?,0.764,?
58,?,0.763,?
59,?,0.761,?
60,?,0.768,?
61,?,0.77,?
62,?,0.767,?
63,?,0.767,?
64,?,0.766,?
65,?,0.765,?
66,?,0.77,?
67,?,1.383,?
68,?,1.381,?
69,?,1.383,?
70,?,1.382,?
71,?,1.379,?
72,?,1.379,?
73,?,1.379,?
74,?,1.383,?
75,?,1.382,?
76,?,1.383,?
77,?,1.379,?
78,?,1.385,?
79,?,1.377,?
80,?,1.383,?
81,?,1.384,?
82,?,1.384,?
83,?,1.379,?
84,?,1.381,?
85,?,1.383,?
86,?,1.382,?
87,?,1.382,?
88,?,1.38,?
89,?,1.383,?
90,?,1.382,?
91,?,1.38,?
92,?,1.38,?
93,?,1.382,?
94,?,1.384,?
95,?,1.385,?
96,?,1.386,?
97,?,1.381,?
98,?,1.381,?
99,?,1.383,?
100,?,2.183,?
101,?,2.187,?
102,?,2.184,?
103,?,2.185,?
104,?,2.187,?
105,?,2.184,?
106,?,2.182,?
107,?,2.183,?
108,?,2.19,?
109,?,2.187,?
110,?,2.187,?
111,?,2.185,?
112,?,2.19,?
113,?,2.189,?
114,?,2.185,?
115,?,2.182,?
116,?,2.19,?
117,?,2.182,?
118,?,2.185,?
119,?,2.185,?
120,?,2.185,?
121,?,2.185,?
122,?,2.183,?
123,?,2.185,?
124,?,2.186,?
125,?,2.185,?
126,?,2.189,?
127,?,2.185,?
128,?,2.182,?
129,?,2.184,?
130,?,2.185,?
131,?,2.182,?
132,?,2.188,?
133,?,3.207,?
134,?,3.205,?
135,?,3.206,?
136,?,3.209,?
137,?,3.207,?
138,?,3.211,?
139,?,3.205,?
140,?,3.208,?
141,?,3.204,?
142,?,3.212,?
143,?,3.21,?
144,?,3.212,?
145,?,3.206,?
146,?,3.21,?
147,?,3.205,?
148,?,3.205,?
149,?,3.21,?
150,?,3.21,?
