@relation testdata

@attribute inputsize numeric
@attribute user numeric
@attribute system numeric
@attribute TT numeric
@attribute elapsed {0:00.34,0:00.76,0:01.38,0:02.20,0:03.21,0:04.45,0:05.84,0:07.42,0:09.22,0:11.21,0:13.36,0:15.74,0:18.28,0:21.07,0:23.98,0:27.14,0:30.38,0:34.02,0:37.61,0:41.53,0:45.63,0:49.79,0:54.24,0:59.06,1:03.79,1:08.94,1:13.91,1:19.30,1:24.90,1:31.07,1:36.72,1:42.72,1:49.17,1:55.92,2:02.14,2:09.24,2:16.75,2:25.03,2:37.96,2:44.27,2:55.27,3:03.54,3:17.21,3:18.13,3:31.11,3:37.64,3:46.71,3:50.40,4:06.34,4:14.59,4:16.21,4:25.95,4:37.75,4:58.06,4:57.12,5:17.85,5:31.82,5:36.12,5:47.85,5:55.73,6:03.28,6:15.45,6:27.31,6:41.82,6:53.85,7:04.33,7:17.04,7:29.94,7:43.22,7:59.08,8:10.37,8:24.16,8:38.48,8:51.89,9:09.66,9:21.14,9:35.83,9:50.91,10:05.79,10:21.88,10:36.40,10:53.95,11:11.16,11:22.37,11:39.50,11:56.27,12:13.79,12:33.08,12:45.26,13:03.10,13:21.39,13:36.99,13:56.99,14:14.94,14:32.09,14:52.89,15:10.04,15:30.25,15:48.57,27:58.87,16:27.39,16:43.29,17:01.70,17:20.43,17:41.59,18:08.91,18:22.73,18:45.52,19:03.50,19:23.08,19:49.87,20:09.61,20:28.82,20:53.64,21:14.60,21:37.32,21:58.98,22:22.95,22:43.83,23:02.57,23:27.79,23:49.77,13:14.48}
@attribute STS numeric
@attribute text numeric
@attribute rodata numeric
@attribute data numeric
@attribute bss numeric

@data
10000,0.34,0,?,0:00.34,0.156,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.166,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.154,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.169,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.157,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.166,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.156,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.161,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.154,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.153,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.166,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.153,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.153,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.154,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.157,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.157,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.152,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.16,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.152,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.169,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.151,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.153,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.155,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.166,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.169,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.167,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.164,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.15,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.161,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.156,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.152,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.16,882,10,16,4000032
10000,0.34,0,?,0:00.34,0.157,882,10,16,4000032
15000,0.76,0,?,0:00.76,0.161,882,10,16,4000032
15000,0.76,0,?,0:00.76,0.169,882,10,16,4000032
15000,0.76,0,?,0:00.76,0.155,882,10,16,4000032
15000,0.76,0,?,0:00.76,0.163,882,10,16,4000032
15000,0.76,0,?,0:00.76,0.157,882,10,16,4000032
15000,0.76,0,?,0:00.76,0.166,882,10,16,4000032
15000,0.76,0,?,0:00.76,0.168,882,10,16,4000032
