inputsize,user,system,TT,elapsed,STS,text,rodata,data,bss
50,1.17,0.10,1.27,0:02.15,0.168,690,95,16,8
100,2.18,0.23,2.41,0:04.16,0.174,690,95,16,8
150,3.38,0.34,3.7199999999999998,0:05.43,0.167,690,95,16,8
200,4.67,0.45,5.12,0:07.34,0.167,690,95,16,8
250,5.71,0.56,6.27,0:16.18,0.172,690,95,16,8
300,6.47,0.71,7.18,0:11.86,0.141,690,95,16,8
350,8.06,0.89,8.950000000000001,0:20.34,0.171,690,95,16,8
400,8.92,0.88,9.8,0:14.03,0.153,690,95,16,8
450,10.02,1.08,11.1,0:23.39,0.178,690,95,16,8
500,11.70,1.18,12.879999999999999,0:25.57,0.175,690,95,16,8
550,13.06,1.31,14.370000000000001,0:29.48,0.162,690,95,16,8
600,14.22,1.28,15.5,0:30.96,0.151,690,95,16,8
650,15.69,1.42,17.11,0:33.14,0.174,690,95,16,8
700,15.67,1.68,17.35,0:32.37,0.143,690,95,16,8
750,17.12,1.82,18.94,0:34.56,0.145,690,95,16,8
800,19.54,1.74,21.279999999999998,0:40.69,0.152,690,95,16,8
850,19.98,1.96,21.94,0:46.96,0.141,690,95,16,8
900,20.68,2.02,22.7,0:39.42,0.168,690,95,16,8
950,22.80,2.23,25.03,0:51.28,0.179,690,95,16,8
1000,23.56,2.17,25.729999999999997,0:47.23,0.146,690,95,16,8
1050,24.91,2.56,27.47,0:58.78,0.162,690,95,16,8
1100,25.93,2.91,28.84,0:52.48,0.155,690,95,16,8
1150,27.22,2.60,29.82,1:03.91,0.159,690,95,16,8
1200,28.89,2.62,31.51,0:54.30,0.169,690,95,16,8
1250,30.17,2.69,32.86,1:02.77,0.153,690,95,16,8
1300,30.45,3.01,33.46,1:10.42,0.159,690,95,16,8
1350,30.85,3.03,33.88,1:04.21,0.167,690,95,16,8
1400,32.00,3.17,35.17,1:12.15,0.163,690,95,16,8
1450,32.96,3.31,36.27,1:06.17,0.145,690,95,16,8
1500,34.02,3.34,37.36,1:16.10,0.164,690,95,16,8
1550,35.57,3.62,39.19,1:18.42,0.168,690,95,16,8
1600,37.71,3.61,41.32,1:14.71,0.173,690,95,16,8
1650,39.00,3.80,42.8,1:22.25,0.164,690,95,16,8
1700,40.00,3.88,43.88,1:23.65,0.174,690,95,16,8
1750,45.78,3.64,49.42,1:28.23,0.167,690,95,16,8
1800,43.03,3.63,46.660000000000004,1:26.28,0.145,690,95,16,8
1850,43.25,3.92,47.17,1:33.43,0.147,690,95,16,8
1900,43.20,4.26,47.46,1:26.03,0.177,690,95,16,8
1950,45.11,4.46,49.57,1:34.09,0.173,690,95,16,8
2000,46.72,4.64,51.36,1:42.66,0.165,690,95,16,8
2050,47.40,4.79,52.19,1:36.95,0.158,690,95,16,8
2100,48.43,4.45,52.88,1:43.51,0.174,690,95,16,8
2150,48.94,5.04,53.98,1:42.04,0.155,690,95,16,8
2200,50.18,5.19,55.37,1:37.22,0.148,690,95,16,8
2250,50.15,5.10,55.25,1:56.80,0.166,690,95,16,8
2300,53.14,5.45,58.59,1:48.98,0.155,690,95,16,8
2350,53.37,5.66,59.03,1:58.27,0.177,690,95,16,8
2400,54.00,6.15,60.15,2:03.35,0.156,690,95,16,8
2450,57.14,5.55,62.69,2:02.37,0.172,690,95,16,8
2500,57.81,5.60,63.410000000000004,2:00.88,0.152,690,95,16,8
2550,58.84,5.91,64.75,2:05.51,0.152,690,95,16,8
2600,59.98,6.12,66.1,2:15.41,0.155,690,95,16,8
2650,60.76,5.92,66.67999999999999,2:09.14,0.166,690,95,16,8
2700,62.15,5.84,67.99,2:09.70,0.156,690,95,16,8
2750,62.52,6.36,68.88000000000001,2:19.88,0.171,690,95,16,8
2800,63.13,6.18,69.31,2:15.30,0.179,690,95,16,8
2850,65.72,6.22,71.94,2:11.92,0.16,690,95,16,8
2900,68.76,6.40,75.16000000000001,2:18.61,0.142,690,95,16,8
2950,69.46,6.50,75.96,2:22.06,0.178,690,95,16,8
3000,69.69,6.51,76.2,2:28.96,0.172,690,95,16,8
3000,70.39,6.67,77.06,2:28.09,0.153,690,95,16,8
3500,83.57,8.01,91.58,2:53.44,0.146,690,95,16,8
4000,93.07,8.92,101.99,3:16.75,0.164,690,95,16,8
4500,102.53,9.89,112.42,3:32.15,0.162,690,95,16,8
5000,117.14,10.99,128.13,3:59.59,0.145,690,95,16,8
5500,124.64,12.20,136.84,4:26.36,0.152,690,95,16,8
6000,139.71,13.20,152.91,4:51.48,0.157,690,95,16,8
6500,152.77,14.46,167.23000000000002,5:20.73,0.152,690,95,16,8
7000,158.34,15.24,173.58,5:32.27,0.143,690,95,16,8
7500,170.34,17.08,187.42000000000002,6:03.03,0.16,690,95,16,8
8000,177.79,18.00,195.79,6:30.80,0.143,690,95,16,8
8500,192.58,18.98,211.56,6:47.44,0.164,690,95,16,8
9000,205.08,20.74,225.82000000000002,7:12.12,0.157,690,95,16,8
9500,216.10,21.91,238.01,7:38.24,0.143,690,95,16,8
10000,235.00,23.43,258.43,15:40.00,0.157,690,95,16,8
