inputsize,user,system,TT,elapsed,STS,text,rodata,data,bss
50,1.17,0.10,?,0:02.15,0.157,690,95,16,8
50,1.17,0.10,?,0:02.15,0.165,690,95,16,8
50,1.17,0.10,?,0:02.15,0.165,690,95,16,8
50,1.17,0.10,?,0:02.15,0.16,690,95,16,8
50,1.17,0.10,?,0:02.15,0.16,690,95,16,8
50,1.17,0.10,?,0:02.15,0.159,690,95,16,8
50,1.17,0.10,?,0:02.15,0.156,690,95,16,8
50,1.17,0.10,?,0:02.15,0.15,690,95,16,8
50,1.17,0.10,?,0:02.15,0.152,690,95,16,8
50,1.17,0.10,?,0:02.15,0.152,690,95,16,8
50,1.17,0.10,?,0:02.15,0.153,690,95,16,8
50,1.17,0.10,?,0:02.15,0.154,690,95,16,8
50,1.17,0.10,?,0:02.15,0.163,690,95,16,8
50,1.17,0.10,?,0:02.15,0.159,690,95,16,8
50,1.17,0.10,?,0:02.15,0.158,690,95,16,8
50,1.17,0.10,?,0:02.15,0.16,690,95,16,8
50,1.17,0.10,?,0:02.15,0.158,690,95,16,8
50,1.17,0.10,?,0:02.15,0.165,690,95,16,8
50,1.17,0.10,?,0:02.15,0.152,690,95,16,8
50,1.17,0.10,?,0:02.15,0.157,690,95,16,8
50,1.17,0.10,?,0:02.15,0.151,690,95,16,8
50,1.17,0.10,?,0:02.15,0.155,690,95,16,8
50,1.17,0.10,?,0:02.15,0.154,690,95,16,8
50,1.17,0.10,?,0:02.15,0.167,690,95,16,8
50,1.17,0.10,?,0:02.15,0.16,690,95,16,8
50,1.17,0.10,?,0:02.15,0.155,690,95,16,8
50,1.17,0.10,?,0:02.15,0.164,690,95,16,8
50,1.17,0.10,?,0:02.15,0.151,690,95,16,8
50,1.17,0.10,?,0:02.15,0.167,690,95,16,8
50,1.17,0.10,?,0:02.15,0.162,690,95,16,8
50,1.17,0.10,?,0:02.15,0.151,690,95,16,8
50,1.17,0.10,?,0:02.15,0.155,690,95,16,8
50,1.17,0.10,?,0:02.15,0.155,690,95,16,8
100,2.18,0.23,?,0:04.16,0.167,690,95,16,8
100,2.18,0.23,?,0:04.16,0.15,690,95,16,8
100,2.18,0.23,?,0:04.16,0.169,690,95,16,8
