inputsize,user,system,TT,elapsed,STS,text,rodata,data,bss
100000,0.03,0.00,0.03,0:00.03,0.179,1874,230,16,16
105000,0.03,0.00,0.03,0:00.03,0.163,1874,230,16,16
110000,0.04,0.00,0.04,0:00.04,0.171,1874,230,16,16
115000,0.04,0.00,0.04,0:00.04,0.16,1874,230,16,16
120000,0.03,0.00,0.03,0:00.03,0.148,1874,230,16,16
125000,0.04,0.00,0.04,0:00.04,0.164,1874,230,16,16
130000,0.04,0.00,0.04,0:00.04,0.178,1874,230,16,16
135000,0.04,0.00,0.04,0:00.04,0.16,1874,230,16,16
140000,0.04,0.00,0.04,0:00.04,0.144,1874,230,16,16
145000,0.05,0.00,0.05,0:00.05,0.142,1874,230,16,16
150000,0.06,0.00,0.06,0:00.06,0.153,1874,230,16,16
155000,0.05,0.00,0.05,0:00.05,0.162,1874,230,16,16
160000,0.05,0.00,0.05,0:00.06,0.179,1874,230,16,16
165000,0.05,0.00,0.05,0:00.05,0.14,1874,230,16,16
170000,0.05,0.00,0.05,0:00.06,0.173,1874,230,16,16
175000,0.05,0.00,0.05,0:00.05,0.141,1874,230,16,16
180000,0.07,0.00,0.07,0:00.07,0.165,1874,230,16,16
185000,0.06,0.00,0.06,0:00.06,0.162,1874,230,16,16
190000,0.06,0.00,0.06,0:00.06,0.176,1874,230,16,16
195000,0.06,0.00,0.06,0:00.06,0.174,1874,230,16,16
200000,0.06,0.00,0.06,0:00.06,0.144,1874,230,16,16
205000,0.06,0.00,0.06,0:00.07,0.165,1874,230,16,16
210000,0.06,0.00,0.06,0:00.07,0.151,1874,230,16,16
215000,0.07,0.00,0.07,0:00.07,0.152,1874,230,16,16
220000,0.07,0.00,0.07,0:00.07,0.14,1874,230,16,16
225000,0.08,0.00,0.08,0:00.08,0.173,1874,230,16,16
230000,0.08,0.00,0.08,0:00.08,0.146,1874,230,16,16
235000,0.08,0.00,0.08,0:00.08,0.162,1874,230,16,16
240000,0.08,0.00,0.08,0:00.08,0.152,1874,230,16,16
245000,0.10,0.00,0.1,0:00.10,0.14,1874,230,16,16
250000,0.09,0.00,0.09,0:00.09,0.147,1874,230,16,16
255000,0.08,0.00,0.08,0:00.08,0.161,1874,230,16,16
260000,0.08,0.00,0.08,0:00.09,0.178,1874,230,16,16
265000,0.08,0.00,0.08,0:00.09,0.154,1874,230,16,16
270000,0.09,0.00,0.09,0:00.10,0.166,1874,230,16,16
275000,0.10,0.00,0.1,0:00.11,0.165,1874,230,16,16
280000,0.09,0.00,0.09,0:00.09,0.143,1874,230,16,16
285000,0.09,0.00,0.09,0:00.10,0.175,1874,230,16,16
290000,0.10,0.00,0.1,0:00.11,0.149,1874,230,16,16
295000,0.11,0.00,0.11,0:00.11,0.173,1874,230,16,16
300000,0.11,0.00,0.11,0:00.11,0.154,1874,230,16,16
305000,0.12,0.00,0.12,0:00.12,0.178,1874,230,16,16
310000,0.10,0.00,0.1,0:00.11,0.163,1874,230,16,16
315000,0.11,0.00,0.11,0:00.11,0.175,1874,230,16,16
320000,0.12,0.00,0.12,0:00.13,0.162,1874,230,16,16
325000,0.11,0.00,0.11,0:00.11,0.178,1874,230,16,16
330000,0.12,0.00,0.12,0:00.12,0.154,1874,230,16,16
335000,0.12,0.00,0.12,0:00.12,0.161,1874,230,16,16
340000,0.12,0.00,0.12,0:00.12,0.176,1874,230,16,16
345000,0.12,0.00,0.12,0:00.12,0.161,1874,230,16,16
350000,0.12,0.00,0.12,0:00.12,0.151,1874,230,16,16
355000,0.14,0.00,0.14,0:00.14,0.14,1874,230,16,16
360000,0.12,0.00,0.12,0:00.13,0.142,1874,230,16,16
365000,0.12,0.00,0.12,0:00.12,0.157,1874,230,16,16
370000,0.14,0.00,0.14,0:00.14,0.15,1874,230,16,16
375000,0.14,0.00,0.14,0:00.14,0.169,1874,230,16,16
380000,0.14,0.00,0.14,0:00.14,0.168,1874,230,16,16
385000,0.14,0.00,0.14,0:00.14,0.151,1874,230,16,16
390000,0.14,0.00,0.14,0:00.15,0.159,1874,230,16,16
395000,0.14,0.00,0.14,0:00.14,0.156,1874,230,16,16
400000,0.14,0.00,0.14,0:00.14,0.144,1874,230,16,16
405000,0.14,0.00,0.14,0:00.15,0.156,1874,230,16,16
410000,0.14,0.00,0.14,0:00.14,0.178,1874,230,16,16
415000,0.15,0.00,0.15,0:00.15,0.15,1874,230,16,16
420000,0.15,0.00,0.15,0:00.16,0.151,1874,230,16,16
425000,0.15,0.00,0.15,0:00.15,0.141,1874,230,16,16
430000,0.17,0.00,0.17,0:00.17,0.172,1874,230,16,16
435000,0.17,0.00,0.17,0:00.17,0.173,1874,230,16,16
440000,0.16,0.00,0.16,0:00.16,0.146,1874,230,16,16
445000,0.16,0.00,0.16,0:00.17,0.168,1874,230,16,16
450000,0.17,0.00,0.17,0:00.17,0.178,1874,230,16,16
455000,0.16,0.00,0.16,0:00.17,0.154,1874,230,16,16
460000,0.19,0.00,0.19,0:00.19,0.174,1874,230,16,16
465000,0.17,0.00,0.17,0:00.17,0.15,1874,230,16,16
470000,0.17,0.00,0.17,0:00.18,0.153,1874,230,16,16
475000,0.17,0.00,0.17,0:00.17,0.153,1874,230,16,16
480000,0.18,0.00,0.18,0:00.18,0.17,1874,230,16,16
485000,0.17,0.00,0.17,0:00.17,0.162,1874,230,16,16
490000,0.18,0.00,0.18,0:00.18,0.147,1874,230,16,16
