inputsize,user,system,TT,elapsed,STS,text,rodata,data,bss
100000,0.03,0.00,?,0:00.03,0.157,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.162,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.156,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.157,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.169,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.165,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.169,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.157,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.164,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.169,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.157,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.163,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.16,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.16,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.169,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.158,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.162,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.151,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.151,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.168,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.156,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.153,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.165,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.155,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.166,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.163,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.154,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.152,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.16,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.156,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.151,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.162,1874,230,16,16
100000,0.03,0.00,?,0:00.03,0.164,1874,230,16,16
105000,0.03,0.00,?,0:00.03,0.15,1874,230,16,16
105000,0.03,0.00,?,0:00.03,0.161,1874,230,16,16
105000,0.03,0.00,?,0:00.03,0.157,1874,230,16,16
105000,0.03,0.00,?,0:00.03,0.151,1874,230,16,16
105000,0.03,0.00,?,0:00.03,0.155,1874,230,16,16
105000,0.03,0.00,?,0:00.03,0.152,1874,230,16,16
105000,0.03,0.00,?,0:00.03,0.163,1874,230,16,16
