inputsize,user,system,TT,elapsed,STS,text,rodata,data,bss
1000,0.12,0.29,?,0:00.71,0.166,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.161,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.152,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.169,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.161,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.162,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.153,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.158,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.15,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.161,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.162,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.158,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.152,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.163,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.169,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.168,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.162,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.168,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.158,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.164,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.161,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.16,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.158,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.161,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.168,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.156,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.168,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.163,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.156,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.162,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.167,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.158,1426,45,16,16
1000,0.12,0.29,?,0:00.71,0.152,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.155,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.155,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.151,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.151,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.164,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.168,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.154,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.157,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.164,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.165,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.153,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.161,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.157,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.155,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.163,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.153,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.154,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.15,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.152,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.158,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.156,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.154,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.162,1426,45,16,16
1050,0.15,0.3,?,0:00.57,0.157,1426,45,16,16
